Data,Fase,Categoria,Tema,Visualizacoes,Curtidas,Comentarios,Compartilhamentos,Engajamento
2024-08-29,campanha,resposta-ataque,IPTU Doce IPTU: chega de fazer a população de boba,33600,366,77,1,444
2024-08-30,campanha,evento,Caminhada com o futuro,8300,184,22,0,206
2024-08-30,campanha,evento,"O povo quer, ninguém segura, Hugo Luiz na prefeitura (repost)",7700,225,30,0,255
2024-08-31,campanha,evento,Alfredo Chaves é 11 (repost da caminhada),17000,381,37,0,418
2024-08-31,campanha,evento,Caminhada de rua com bandeiras,9200,209,12,1,222
2024-08-31,campanha,evento,Caminhada de rua (casal com bandeiras),12000,477,44,10,531
2024-08-31,campanha,coligacao,Progressistas (marca oficial do partido),9900,380,60,0,440
2024-08-31,campanha,coligacao,Assembleia já sabe o número (11),7200,278,70,1,349
2024-09-03,reta-final,resposta-ataque,Deixa o menino trabalhar,15100,389,107,0,496
2024-09-04,reta-final,evento,Convite: Roda de Conversa com a Terceira Idade,7500,96,8,0,104
2024-09-04,reta-final,evento,A alegria (vídeo comunidade),10800,203,20,0,223
2024-09-05,reta-final,pesquisa,"Pesquisa: Hugo Luiz com 57,4% de intenção de voto",76800,345,64,0,409
2024-09-05,reta-final,data-comemorativa,Feliz dia do irmão,4800,296,34,0,330
2024-09-06,reta-final,contagem-regressiva,Dias para votar no prefeito mais jovem do ES,8000,260,77,1,338
2024-09-06,reta-final,pesquisa,Repercussão pesquisa Instituto Veritá,9000,182,40,0,222
2024-09-07,reta-final,data-comemorativa,Feliz 7 de Setembro,5500,80,15,0,95
