"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_BEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULT_ATUAL_BEM_CANDIDATO";"HH_ULT_ATUAL_BEM_CANDIDATO"
"26/08/2026";"02:15:54";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"ES";"56057";"ALFREDO CHAVES";80001947286;2;45;"Aplicação de renda fixa (CDB, RDB e outros)";"BANESTES";"7250,29";"07/07/2026";"15:06:42"
"26/08/2026";"02:15:54";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"ES";"56057";"ALFREDO CHAVES";80001947286;3;61;"Depósito bancário em conta corrente no País";"SICOOB";"389,36";"07/07/2026";"15:06:42"
"26/08/2026";"02:15:54";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"ES";"56057";"ALFREDO CHAVES";80001947333;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"FIAT TORO ANO 2020";"110000,00";"07/07/2026";"15:06:45"
"26/08/2026";"02:15:54";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"ES";"56057";"ALFREDO CHAVES";80001947333;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"VEICULO HB20 ANO 2014";"50000,00";"07/07/2026";"15:06:45"
"26/08/2026";"02:15:54";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"ES";"56057";"ALFREDO CHAVES";80001947333;3;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CAMINHAO ACELO 1016 MERCEDES ANO 2018";"150000,00";"07/07/2026";"15:06:45"
"26/08/2026";"02:15:54";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"ES";"56057";"ALFREDO CHAVES";80001947333;4;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MOTO BROS, ANO 2014";"20000,00";"07/07/2026";"15:06:45"
"26/08/2026";"02:15:54";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"ES";"56057";"ALFREDO CHAVES";80001947340;1;13;"Terreno";"ESTRADA DOIS IRMAOS";"85000,00";"07/07/2026";"15:06:45"
"26/08/2026";"02:15:54";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"ES";"56057";"ALFREDO CHAVES";80001947340;2;13;"Terreno";"AREA RURAL MEDINDO 2.360 M² LOCALIDADE CACHOEIRINHA";"85000,00";"07/07/2026";"15:06:45"
"26/08/2026";"02:15:54";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"ES";"56057";"ALFREDO CHAVES";80001947340;3;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"VEICULO VOLKSWAGEN MODELO GOL 2015/2015 PLACA PPE4354";"25100,00";"07/07/2026";"15:06:45"
"26/08/2026";"02:15:54";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"ES";"56057";"ALFREDO CHAVES";80001947340;4;61;"Depósito bancário em conta corrente no País";"BANESTES";"8142,50";"07/07/2026";"15:06:45"
"26/08/2026";"02:15:54";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"ES";"56057";"ALFREDO CHAVES";80001947340;5;63;"Dinheiro em espécie - moeda nacional";"NUMERARIO EM ESPECIE";"85000,00";"07/07/2026";"15:06:45"
"26/08/2026";"02:15:54";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"ES";"56057";"ALFREDO CHAVES";80001947340;6;39;"Outras participações societárias";"CAPITAL SICOOB";"4256,30";"07/07/2026";"15:06:45"
"26/08/2026";"02:15:54";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"ES";"56057";"ALFREDO CHAVES";80001947284;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"TOYOTA AYRIS ANO 2020";"76462,00";"07/07/2026";"15:06:42"
"26/08/2026";"02:15:54";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"ES";"56057";"ALFREDO CHAVES";80001947331;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MOTO BIZ 125 ANO 2012/2013
"26/08/2026";"02:15:54";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"ES";"56057";"ALFREDO CHAVES";80002230760;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"01 VW FUSCA 1994";"15000,00";"07/07/2026";"15:34:11"
"26/08/2026";"02:15:54";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"ES";"56057";"ALFREDO CHAVES";80002230760;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"veículo Hyundai Tucson ano 2008";"30000,00";"07/07/2026";"15:34:11"
"26/08/2026";"02:15:54";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"ES";"56057";"ALFREDO CHAVES";80002230760;3;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"veículo Radial RCA 751 semi-reboque 2023";"5000,00";"07/07/2026";"15:34:11"
"26/08/2026";"02:15:54";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"ES";"56057";"ALFREDO CHAVES";80001982773;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CARRO FIAT UNO  VIVAGE";"10000,00";"07/07/2026";"15:31:40"
"26/08/2026";"02:15:54";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"ES";"56057";"ALFREDO CHAVES";80001982773;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CAMINHÃO M.BENZ";"15000,00";"07/07/2026";"15:31:40"
"26/08/2026";"02:15:54";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"ES";"56057";"ALFREDO CHAVES";80001982773;3;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"VW POLO SEDAN ";"20000,00";"07/07/2026";"15:31:40"
"26/08/2026";"02:15:54";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"ES";"56057";"ALFREDO CHAVES";80001982776;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"UNO MILLE ECONOMY";"22000,00";"07/07/2026";"15:07:17"
"26/08/2026";"02:15:54";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"ES";"56057";"ALFREDO CHAVES";80001947152;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CAMINHONETE CABINE DUPLA DIESEL, ANO 2009, PLACA MSR 3924";"28000,00";"07/07/2026";"15:06:40"
